_id,jteid,persid,hhid,starthour,startime,arrhour,arrtime,dephour,deptime,jtetraveltime,jte_at,jteelapsedtime,jtedist,origLGA,destLGA,destplace,jtemode,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dur1,dur2,dur3,dur4,dur5,dur6,dur7,dur8,dur9,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,place1,place2,place3,place4,place5,place6,place7,place8,place9,purp1,purp2,purp3,purp4,purp5,purp6,purp7,purp8,purp9,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,time1,time2,time3,time4,time5,time6,time7,time8,time9,wdjtewgt_LGA,wejtewgt_LGA
3702,Y16H1880211P04JTE1,Y16H1880211P04,Y16H1880211,7,463,8,484,15,935,21,0,21,15.84,Cardinia (S),Cardinia (S),Secondary School,Vehicle Driver,15.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880211P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.47,
3703,Y16H1880219P03JTE1,Y16H1880219P03,Y16H1880219,7,450,7,470,15,930,20,0,20,20.37,Cardinia (S),Casey (C),Primary School,Vehicle Passenger,20.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,460,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880219P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,158.63,
3704,Y16H1880219P04JTE1,Y16H1880219P04,Y16H1880219,7,450,7,470,15,930,20,0,20,20.37,Cardinia (S),Casey (C),Primary School,Vehicle Passenger,20.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,460,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880219P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,156.05,
3705,Y16H1880240P03JTE1,Y16H1880240P03,Y16H1880240,8,530,8,535,15,950,5,0,5,2.2,Yarra Ranges (S),Yarra Ranges (S),Primary School,Vehicle Passenger,2.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880240P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,142.26,
3706,Y16H1880305P04JTE1,Y16H1880305P04,Y16H1880305,7,450,8,500,14,870,50,0,50,12.87,Boroondara (C),Melbourne (C),Tertiary,Vehicle Driver,12.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,370,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880305P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.43,
3707,Y16H1880305P05JTE1,Y16H1880305P05,Y16H1880305,8,510,8,525,14,885,15,0,15,5.57,Boroondara (C),Whitehorse (C),Tertiary,Vehicle Passenger,5.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,360,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880305P05S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.9,
3708,Y16H1880329P04JTE1,Y16H1880329P04,Y16H1880329,10,630,10,650,14,870,20,0,20,7.38,Boroondara (C),Glen Eira (C),Tertiary,Vehicle Driver,7.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880329P04S03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.1,
3709,Y16H1880336P03JTE1,Y16H1880336P03,Y16H1880336,6,390,6,410,15,930,20,0,20,5.19,Boroondara (C),Stonnington (C),Secondary School,Vehicle Passenger,5.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,520,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880336P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.47,
3710,Y16H1880401P03JTE1,Y16H1880401P03,Y16H1880401,8,480,8,523,16,990,43,0,43,18.1,Banyule (C),Moreland (C),Tertiary,Vehicle Driver,18.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,467,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880401P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.67,
3711,Y16H1880425P04JTE1,Y16H1880425P04,Y16H1880425,8,525,8,531,15,917,6,0,6,0.58,Nillumbik (S),Nillumbik (S),Secondary School,Walking,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880425P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.16,
3712,Y16H1880505P03JTE1,Y16H1880505P03,Y16H1880505,8,520,8,530,15,930,10,0,10,0.41,Brimbank (C),Brimbank (C),Primary School,Walking,0.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880505P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.85,
3713,Y16H1880509P04JTE1,Y16H1880509P04,Y16H1880509,8,495,8,510,15,930,15,0,15,2.86,Brimbank (C),Melton (C),Primary School,Vehicle Passenger,2.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880509P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.36,
3714,Y16H1880509P05JTE1,Y16H1880509P05,Y16H1880509,8,495,8,510,15,930,15,0,15,2.86,Brimbank (C),Melton (C),Primary School,Vehicle Passenger,2.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880509P05S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.36,
3715,Y16H1880512P03JTE1,Y16H1880512P03,Y16H1880512,8,530,8,535,18,1100,5,0,5,0.24,Brimbank (C),Brimbank (C),Primary School,Vehicle Passenger,0.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880512P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,135.32,
3716,Y16H1880518P02JTE1,Y16H1880518P02,Y16H1880518,7,450,8,495,15,930,45,0,45,8.76,Brimbank (C),Brimbank (C),Secondary School,Public Bus,6.34,2.17,0.24,N/A,N/A,N/A,N/A,N/A,N/A,15,0,435,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Public Bus,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1880518P02S01,Y16H1880518P02S02,Y16H1880518P02S03,N/A,N/A,N/A,N/A,N/A,N/A,15,10,5,N/A,N/A,N/A,N/A,N/A,N/A,134.72,
3717,Y16H1890131P03JTE1,Y16H1890131P03,Y16H1890131,13,795,13,825,12,1455,30,0,30,32.18,Frankston (C),Monash (C),Tertiary,Vehicle Driver,32.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890131P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,146.37,
3718,Y16H1890131P04JTE1,Y16H1890131P04,Y16H1890131,11,660,11,690,16,970,30,0,30,22.07,Frankston (C),Casey (C),Tertiary,Vehicle Driver,22.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890131P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.85,
3719,Y16H1890131P05JTE1,Y16H1890131P05,Y16H1890131,8,480,8,515,15,925,35,0,35,6.36,Frankston (C),Frankston (C),Secondary School,School Bus,6.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,410,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,School Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890131P05S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.85,
3720,Y16H1890137P03JTE1,Y16H1890137P03,Y16H1890137,8,510,8,513,15,940,3,0,3,0.95,Frankston (C),Frankston (C),Primary School,Vehicle Passenger,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,427,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890137P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114.24,
3721,Y16H1890137P04JTE1,Y16H1890137P04,Y16H1890137,8,510,8,513,15,940,3,0,3,0.95,Frankston (C),Frankston (C),Primary School,Vehicle Passenger,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,427,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890137P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118.16,
3722,Y16H1890217P03JTE1,Y16H1890217P03,Y16H1890217,8,495,8,505,14,840,10,0,10,4.13,Knox (C),Knox (C),Secondary School,Vehicle Passenger,4.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890217P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.03,
3723,Y16H1890217P04JTE1,Y16H1890217P04,Y16H1890217,8,495,8,507,15,930,12,0,12,5.03,Knox (C),Knox (C),Primary School,Vehicle Passenger,4.13,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,423,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pick-up or Drop-off Someone,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890217P04S01,Y16H1890217P04S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.76,
3724,Y16H1890219P02JTE1,Y16H1890219P02,Y16H1890219,8,500,8,525,15,900,25,0,25,10.63,Knox (C),Yarra Ranges (S),Secondary School,Vehicle Passenger,10.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890219P02S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.6,
3725,Y16H1890219P03JTE1,Y16H1890219P03,Y16H1890219,8,500,8,535,16,960,30,0,30,12.76,Knox (C),Yarra Ranges (S),Primary School,Vehicle Passenger,10.63,2.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pick-up or Drop-off Someone,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890219P03S01,Y16H1890219P03S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.6,
3726,Y16H1890230P04JTE1,Y16H1890230P04,Y16H1890230,8,483,8,510,15,910,27,0,27,3.92,Knox (C),Knox (C),Secondary School,Train,2.56,1.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Train,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Train Station,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890230P04S02,Y16H1890230P04S03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.17,
3727,Y16H1890230P05JTE1,Y16H1890230P05,Y16H1890230,8,483,8,505,15,920,22,0,22,9.57,Knox (C),Yarra Ranges (S),Secondary School,Train,9.19,0.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Train,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Train Station,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890230P05S02,Y16H1890230P05S03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.42,
3728,Y16H1890239P03JTE1,Y16H1890239P03,Y16H1890239,7,475,8,511,15,917,34,2,36,9.61,Knox (C),Maroondah (C),Secondary School,Train,3.35,5.11,1.15,N/A,N/A,N/A,N/A,N/A,N/A,2,0,406,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Train,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Train Station,Train Station,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Pick-up or Drop-off Someone,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890239P03S01,Y16H1890239P03S02,Y16H1890239P03S03,N/A,N/A,N/A,N/A,N/A,N/A,14,7,13,N/A,N/A,N/A,N/A,N/A,N/A,86.67,
3729,Y16H1890239P04JTE1,Y16H1890239P04,Y16H1890239,8,510,8,515,9,540,5,0,5,0.45,Knox (C),Knox (C),Primary School,Walking,0.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890239P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.53,
3730,Y16H1890424P03JTE1,Y16H1890424P03,Y16H1890424,8,525,8,530,15,940,5,0,5,2.39,Moonee Valley (C),Moonee Valley (C),Primary School,Vehicle Passenger,2.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,410,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890424P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.09,
3731,Y16H1890424P04JTE1,Y16H1890424P04,Y16H1890424,8,525,8,530,15,940,5,0,5,2.39,Moonee Valley (C),Moonee Valley (C),Primary School,Vehicle Passenger,2.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,410,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890424P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.88,
3732,Y16H1890430P03JTE1,Y16H1890430P03,Y16H1890430,8,510,8,527,15,935,17,0,17,4.63,Moonee Valley (C),Moonee Valley (C),Primary School,Vehicle Passenger,4.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890430P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.12,
3733,Y16H1890438P03JTE1,Y16H1890438P03,Y16H1890438,7,462,8,500,15,910,38,0,38,4.82,Moonee Valley (C),Moonee Valley (C),Secondary School,Public Bus,0.28,3.53,1,N/A,N/A,N/A,N/A,N/A,N/A,7,0,410,N/A,N/A,N/A,N/A,N/A,N/A,Walking,Public Bus,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890438P03S01,Y16H1890438P03S02,Y16H1890438P03S03,N/A,N/A,N/A,N/A,N/A,N/A,6,10,15,N/A,N/A,N/A,N/A,N/A,N/A,99,
3734,Y16H1890438P04JTE1,Y16H1890438P04,Y16H1890438,8,500,8,507,15,933,7,0,7,2.4,Moonee Valley (C),Moonee Valley (C),School NEC,Vehicle Passenger,2.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,School NEC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890438P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.09,
3735,Y16H1890439P03JTE1,Y16H1890439P03,Y16H1890439,8,520,8,535,15,915,15,0,15,4.36,Moonee Valley (C),Moonee Valley (C),Secondary School,Vehicle Passenger,4.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890439P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.82,
3736,Y16H1890439P04JTE1,Y16H1890439P04,Y16H1890439,8,520,9,540,15,935,20,0,20,6.4,Moonee Valley (C),Moonee Valley (C),Primary School,Vehicle Passenger,4.36,2.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pick-up or Drop-off Someone,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1890439P04S01,Y16H1890439P04S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.82,
3737,Y16H1900105P02JTE1,Y16H1900105P02,Y16H1900105,8,510,8,525,15,920,15,0,15,15.26,Casey (C),Casey (C),Primary School,Vehicle Passenger,15.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y16H1900105P02S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104.7,
3738,Y16H1900201P04JTE1,Y16H1900201P04,Y16H1900201,8,500,9,540,15,949,40,0,40,6.58,Knox (C),Knox (C),Secondary School,Public Bus,0.26,2.59,3.43,0.3,N/A,N/A,N/A,N/A,N/A,1,2,5,409,N/A,N/A,N/A,N/A,N/A,Walking,Public Bus,Public Bus,Walking,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,Y16H1900201P04S01,Y16H1900201P04S02,Y16H1900201P04S03,Y16H1900201P04S04,N/A,N/A,N/A,N/A,N/A,5,14,8,5,N/A,N/A,N/A,N/A,N/A,86.45,
3739,Y16H1900201P05JTE1,Y16H1900201P05,Y16H1900201,8,500,9,540,17,1020,40,0,40,6.58,Knox (C),Knox (C),Secondary School,Public Bus,0.26,2.59,3.43,0.3,N/A,N/A,N/A,N/A,N/A,1,2,5,480,N/A,N/A,N/A,N/A,N/A,Walking,Public Bus,Public Bus,Walking,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,Y16H1900201P05S01,Y16H1900201P05S02,Y16H1900201P05S03,Y16H1900201P05S04,N/A,N/A,N/A,N/A,N/A,5,14,8,5,N/A,N/A,N/A,N/A,N/A,110.32,
